"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
161	609	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 603   | 0.99       |         
 '--organelle                                   | 603   | 0.99       |         
     '--mitochondria                            | 603   | 0.99       |         "	NA	"275"
162	604	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"276"
163	603	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 603   | 1          |         
 '--organelle                                   | 603   | 1          |         
     '--plastid                                 | 603   | 1          |         "	NA	"277"
164	599	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 268   | 0.45       |         
 '--organelle                                   | 268   | 0.45       |         
     |--plastid                                 | 11    | 0.018      |         
     '--mitochondria                            | 257   | 0.43       |         "	NA	"278"
165	592	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"279"
166	586	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"280"
167	582	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"281"
168	574	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"282"
169	570	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 201   | 0.35       |                    
 '--repeat                                      | 201   | 0.35       |                    
     '--mobile_element                          | 201   | 0.35       |                    
         '--Class_II                            | 201   | 0.35       |                    
             '--Subclass_1                      | 201   | 0.35       |                    
                 '--TIR                         | 201   | 0.35       |                    
                     '--EnSpm_CACTA             | 201   | 0.35       | 201 (CACTA-TPase), "	NA	"283"
170	569	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 322   | 0.57       |         
 '--organelle                                   | 322   | 0.57       |         
     '--mitochondria                            | 322   | 0.57       |         "	NA	"284"
171	562	"Tekay"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 257   | 0.46       |                              
 '--repeat                                      | 257   | 0.46       |                              
     '--mobile_element                          | 257   | 0.46       |                              
         '--Class_I                             | 257   | 0.46       |                              
             '--LTR                             | 257   | 0.46       |                              
                 '--Ty3_gypsy                   | 257   | 0.46       |                              
                     '--chromovirus             | 257   | 0.46       |                              
                         '--Tekay               | 257   | 0.46       | 82 (Ty3-CHD), 175 (Ty3-INT), "	NA	"285"
172	558	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 152   | 0.27       |         
 '--organelle                                   | 152   | 0.27       |         
     '--mitochondria                            | 152   | 0.27       |         "	NA	"287"
173	553	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"288"
174	552	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"289"
175	544	"Tork"	"                                                | nhits | proportion |                                   features
-----------------------------------------------------------------------------------------------------------------
All                                             | 109   | 0.2        |                                           
 '--repeat                                      | 109   | 0.2        |                                           
     '--mobile_element                          | 109   | 0.2        |                                           
         '--Class_I                             | 109   | 0.2        |                                           
             '--LTR                             | 109   | 0.2        |                                           
                 '--Ty1_copia                   | 109   | 0.2        |                                           
                     |--Ivana                   | 2     | 0.0037     | 2 (Ty1-PROT),                             
                     '--Tork                    | 107   | 0.2        | 57 (Ty1-GAG), 3 (Ty1-INT), 47 (Ty1-PROT), "	NA	"290"
176	542	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"291"
177	537	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"292"
178	531	"NA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 2     | 0.0038     |                    
 '--repeat                                      | 2     | 0.0038     |                    
     '--mobile_element                          | 2     | 0.0038     |                    
         '--Class_II                            | 2     | 0.0038     |                    
             '--Subclass_2                      | 2     | 0.0038     |                    
                 '--Helitron                    | 2     | 0.0038     | 2 (Helitron-HEL2), "	NA	"505,334"
179	531	"mitochondria"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 374   | 0.7        |              
 |--organelle                                   | 369   | 0.7        |              
 |   '--mitochondria                            | 369   | 0.7        |              
 '--repeat                                      | 5     | 0.0094     |              
     '--mobile_element                          | 5     | 0.0094     |              
         '--Class_I                             | 5     | 0.0094     |              
             '--LINE                            | 5     | 0.0094     | 5 (LINE-RT), "	NA	"293"
180	529	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 90    | 0.17       |         
 '--organelle                                   | 90    | 0.17       |         
     '--mitochondria                            | 90    | 0.17       |         "	NA	"294"
181	527	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"295"
182	525	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 525   | 1          |         
 '--organelle                                   | 525   | 1          |         
     '--mitochondria                            | 525   | 1          |         "	NA	"296"
183	512	"satellite"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 512   | 1          |         
 '--repeat                                      | 512   | 1          |         
     '--satellite                               | 512   | 1          |         "	"298 - Putative satellites (high confidence)"	"298"
184	511	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"299"
185	509	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"300"
186	503	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"301"
187	497	"mitochondria"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 346   | 0.7        |              
 |--organelle                                   | 331   | 0.67       |              
 |   '--mitochondria                            | 331   | 0.67       |              
 '--repeat                                      | 15    | 0.03       |              
     '--mobile_element                          | 15    | 0.03       |              
         '--Class_I                             | 15    | 0.03       |              
             '--LTR                             | 15    | 0.03       |              
                 '--Ty3_gypsy                   | 15    | 0.03       |              
                     |--non-chromovirus         | 13    | 0.026      |              
                     |   '--OTA                 | 13    | 0.026      |              
                     |       '--Tat             | 13    | 0.026      |              
                     |           '--Retand      | 13    | 0.026      | 13 (Ty3-RT), 
                     '--chromovirus             | 2     | 0.004      |              
                         '--Tekay               | 2     | 0.004      | 2 (Ty3-CHD), "	NA	"302"
188	496	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 118   | 0.24       |         
 '--organelle                                   | 118   | 0.24       |         
     '--mitochondria                            | 118   | 0.24       |         "	NA	"303"
189	489	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"304"
190	482	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"305"
191	481	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"306"
192	474	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 423   | 0.89       |         
 '--organelle                                   | 423   | 0.89       |         
     '--mitochondria                            | 423   | 0.89       |         "	NA	"307"
193	473	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 182   | 0.38       |         
 '--organelle                                   | 182   | 0.38       |         
     '--mitochondria                            | 182   | 0.38       |         "	NA	"308"
194	471	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 1     | 0.0021     |             
 '--repeat                                      | 1     | 0.0021     |             
     '--mobile_element                          | 1     | 0.0021     |             
         '--Class_I                             | 1     | 0.0021     |             
             '--LTR                             | 1     | 0.0021     |             
                 '--Ty1_copia                   | 1     | 0.0021     |             
                     '--Ikeros                  | 1     | 0.0021     | 1 (Ty1-RT), "	NA	"309"
195	470	"Ogre"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 74    | 0.16       |                
 '--repeat                                      | 74    | 0.16       |                
     '--mobile_element                          | 74    | 0.16       |                
         '--Class_I                             | 74    | 0.16       |                
             '--LTR                             | 74    | 0.16       |                
                 '--Ty3_gypsy                   | 74    | 0.16       |                
                     '--non-chromovirus         | 74    | 0.16       |                
                         '--OTA                 | 74    | 0.16       |                
                             '--Tat             | 74    | 0.16       |                
                                 '--Ogre        | 74    | 0.16       | 74 (Ty3-PROT), "	NA	"675,336"
196	470	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 383   | 0.82       |         
 '--organelle                                   | 383   | 0.82       |         
     |--plastid                                 | 3     | 0.0064     |         
     '--mitochondria                            | 380   | 0.81       |         "	NA	"310"
197	470	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"311"
198	468	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"312"
199	468	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 224   | 0.48       |               
 |--organelle                                   | 202   | 0.43       |               
 |   '--mitochondria                            | 202   | 0.43       |               
 '--repeat                                      | 22    | 0.047      |               
     '--mobile_element                          | 22    | 0.047      |               
         '--Class_I                             | 22    | 0.047      |               
             '--LTR                             | 22    | 0.047      |               
                 |--Ty1_copia                   | 11    | 0.024      |               
                 |   '--Ale                     | 11    | 0.024      | 11 (Ty1-GAG), 
                 '--Ty3_gypsy                   | 11    | 0.024      |               
                     '--chromovirus             | 11    | 0.024      |               
                         '--Galadriel           | 11    | 0.024      | 11 (Ty3-RH),  "	NA	"313"
200	444	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"314"
201	444	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"315"
202	435	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"316"
203	424	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 148   | 0.35       |         
 '--organelle                                   | 148   | 0.35       |         
     '--mitochondria                            | 148   | 0.35       |         "	NA	"317"
204	421	"mitochondria"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 149   | 0.35       |             
 |--organelle                                   | 141   | 0.34       |             
 |   '--mitochondria                            | 141   | 0.34       |             
 '--repeat                                      | 8     | 0.019      |             
     '--mobile_element                          | 8     | 0.019      |             
         '--Class_I                             | 8     | 0.019      |             
             '--LTR                             | 8     | 0.019      |             
                 '--Ty3_gypsy                   | 8     | 0.019      |             
                     '--non-chromovirus         | 8     | 0.019      |             
                         '--OTA                 | 8     | 0.019      |             
                             '--Tat             | 8     | 0.019      |             
                                 '--Retand      | 8     | 0.019      | 8 (Ty3-RH), "	NA	"318"
205	421	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"319"
206	419	"Ogre"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 49    | 0.12       |                
 '--repeat                                      | 49    | 0.12       |                
     '--mobile_element                          | 49    | 0.12       |                
         '--Class_I                             | 49    | 0.12       |                
             '--LTR                             | 49    | 0.12       |                
                 '--Ty3_gypsy                   | 49    | 0.12       |                
                     '--non-chromovirus         | 49    | 0.12       |                
                         '--OTA                 | 49    | 0.12       |                
                             '--Tat             | 49    | 0.12       |                
                                 '--Ogre        | 49    | 0.12       | 49 (Ty3-PROT), "	NA	"320"
207	416	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 416   | 1          |         
 '--organelle                                   | 416   | 1          |         
     '--mitochondria                            | 416   | 1          |         "	NA	"322"
208	413	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2     | 0.0048     |         
 '--organelle                                   | 2     | 0.0048     |         
     '--plastid                                 | 2     | 0.0048     |         "	NA	"323"
209	403	"MuDR_Mutator"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 94    | 0.23       |                  
 '--repeat                                      | 94    | 0.23       |                  
     '--mobile_element                          | 94    | 0.23       |                  
         '--Class_II                            | 94    | 0.23       |                  
             '--Subclass_1                      | 94    | 0.23       |                  
                 '--TIR                         | 94    | 0.23       |                  
                     '--MuDR_Mutator            | 94    | 0.23       | 94 (MuDR-TPase), "	NA	"325"
210	402	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"326"
211	400	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"327"
212	398	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 50    | 0.13       |         
 '--organelle                                   | 50    | 0.13       |         
     '--mitochondria                            | 50    | 0.13       |         "	NA	"328"
213	395	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"329"
214	391	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"534,402"
215	389	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"330"
216	385	"mitochondria"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 180   | 0.47       |                
 |--organelle                                   | 156   | 0.4        |                
 |   '--mitochondria                            | 156   | 0.4        |                
 '--repeat                                      | 24    | 0.062      |                
     '--mobile_element                          | 24    | 0.062      |                
         '--Class_I                             | 24    | 0.062      |                
             |--LTR                             | 17    | 0.044      |                
             |   '--Ty1_copia                   | 17    | 0.044      |                
             |       |--Ale                     | 3     | 0.0078     | 3 (Ty1-RH),    
             |       '--Ikeros                  | 14    | 0.036      | 14 (Ty1-PROT), 
             '--LINE                            | 7     | 0.018      | 7 (LINE-RT),   "	NA	"331"
217	380	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"332"
218	375	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 140   | 0.37       |         
 '--organelle                                   | 140   | 0.37       |         
     '--mitochondria                            | 140   | 0.37       |         "	NA	"333"
219	372	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"335"
220	368	"hAT"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 150   | 0.41       |                  
 '--repeat                                      | 150   | 0.41       |                  
     '--mobile_element                          | 150   | 0.41       |                  
         '--Class_II                            | 150   | 0.41       |                  
             '--Subclass_1                      | 150   | 0.41       |                  
                 '--TIR                         | 150   | 0.41       |                  
                     '--hAT                     | 150   | 0.41       | 150 (hAT-TPase), "	NA	"337"
221	361	"LINE"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 191   | 0.53       |                
 '--repeat                                      | 191   | 0.53       |                
     '--mobile_element                          | 191   | 0.53       |                
         '--Class_I                             | 191   | 0.53       |                
             '--LINE                            | 191   | 0.53       | 191 (LINE-RT), "	NA	"496,448"
222	358	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"338"
223	353	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"340"
224	351	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 133   | 0.38       |               
 |--organelle                                   | 99    | 0.28       |               
 |   '--mitochondria                            | 99    | 0.28       |               
 '--repeat                                      | 34    | 0.097      |               
     '--mobile_element                          | 34    | 0.097      |               
         '--Class_I                             | 34    | 0.097      |               
             '--LTR                             | 34    | 0.097      |               
                 '--Ty3_gypsy                   | 34    | 0.097      |               
                     '--chromovirus             | 34    | 0.097      |               
                         '--Tekay               | 34    | 0.097      | 34 (Ty3-INT), "	NA	"341"
225	350	"mitochondria"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 138   | 0.39       |               
 |--organelle                                   | 124   | 0.35       |               
 |   '--mitochondria                            | 124   | 0.35       |               
 '--repeat                                      | 14    | 0.04       |               
     '--mobile_element                          | 14    | 0.04       |               
         '--Class_I                             | 14    | 0.04       |               
             '--LINE                            | 14    | 0.04       | 14 (LINE-RH), "	NA	"342"
226	349	"pararetrovirus"	"                                                | nhits | proportion |                     features
---------------------------------------------------------------------------------------------------
All                                             | 81    | 0.23       |                             
 '--repeat                                      | 81    | 0.23       |                             
     '--mobile_element                          | 81    | 0.23       |                             
         '--Class_I                             | 81    | 0.23       |                             
             |--LTR                             | 3     | 0.0086     |                             
             |   '--Ty3_gypsy                   | 3     | 0.0086     |                             
             |       '--chromovirus             | 3     | 0.0086     |                             
             |           |--Tcn1                | 1     | 0.0029     | 1 (Ty3-RT),                 
             |           |--CRM                 | 1     | 0.0029     | 1 (Ty3-RT),                 
             |           '--Reina               | 1     | 0.0029     | 1 (Ty3-RT),                 
             '--pararetrovirus                  | 78    | 0.22       | 26 (PARA-RH), 52 (PARA-RT), "	NA	"343"
227	341	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"344"
228	341	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"345"
229	341	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 152   | 0.45       |         
 '--organelle                                   | 152   | 0.45       |         
     '--mitochondria                            | 152   | 0.45       |         "	NA	"346"
230	337	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"347"
231	337	"NA"	"                                                | nhits | proportion |         features
---------------------------------------------------------------------------------------
All                                             | 11    | 0.033      |                 
 '--repeat                                      | 11    | 0.033      |                 
     '--mobile_element                          | 11    | 0.033      |                 
         '--Class_II                            | 11    | 0.033      |                 
             '--Subclass_1                      | 11    | 0.033      |                 
                 '--TIR                         | 11    | 0.033      |                 
                     '--hAT                     | 11    | 0.033      | 11 (hAT-TPase), "	NA	"348"
232	337	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"349"
233	334	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 297   | 0.89       |         
 '--organelle                                   | 297   | 0.89       |         
     '--mitochondria                            | 297   | 0.89       |         "	NA	"350"
234	329	"mitochondria"	"                                                | nhits | proportion |                  features
------------------------------------------------------------------------------------------------
All                                             | 99    | 0.3        |                          
 |--organelle                                   | 84    | 0.26       |                          
 |   '--mitochondria                            | 84    | 0.26       |                          
 '--repeat                                      | 15    | 0.046      |                          
     '--mobile_element                          | 15    | 0.046      |                          
         '--Class_I                             | 15    | 0.046      |                          
             |--LTR                             | 13    | 0.04       |                          
             |   '--Ty3_gypsy                   | 13    | 0.04       |                          
             |       '--chromovirus             | 13    | 0.04       |                          
             |           '--Galadriel           | 13    | 0.04       | 4 (Ty3-INT), 9 (Ty3-RH), 
             '--LINE                            | 2     | 0.0061     | 2 (LINE-RH),             "	NA	"351"
235	329	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 78    | 0.24       |         
 '--organelle                                   | 78    | 0.24       |         
     '--mitochondria                            | 78    | 0.24       |         "	NA	"352"
236	328	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 328   | 1          |         
 '--organelle                                   | 328   | 1          |         
     '--mitochondria                            | 328   | 1          |         "	NA	"353"
237	322	"NA"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 105   | 0.33       |               
 |--organelle                                   | 30    | 0.093      |               
 |   '--mitochondria                            | 30    | 0.093      |               
 '--repeat                                      | 75    | 0.23       |               
     '--mobile_element                          | 75    | 0.23       |               
         '--Class_I                             | 75    | 0.23       |               
             '--LINE                            | 75    | 0.23       | 75 (LINE-RT), "	NA	"354"
238	319	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"355"
239	314	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"356"
240	313	"mitochondria"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 154   | 0.49       |                
 |--organelle                                   | 147   | 0.47       |                
 |   '--mitochondria                            | 147   | 0.47       |                
 '--repeat                                      | 7     | 0.022      |                
     '--mobile_element                          | 7     | 0.022      |                
         '--Class_I                             | 7     | 0.022      |                
             '--LINE                            | 7     | 0.022      | 7 (LINE-ENDO), "	NA	"357"
241	310	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"358"
242	307	"Ogre"	"                                                | nhits | proportion |       features
-------------------------------------------------------------------------------------
All                                             | 94    | 0.31       |               
 '--repeat                                      | 94    | 0.31       |               
     '--mobile_element                          | 94    | 0.31       |               
         '--Class_I                             | 94    | 0.31       |               
             '--LTR                             | 94    | 0.31       |               
                 '--Ty3_gypsy                   | 94    | 0.31       |               
                     '--non-chromovirus         | 94    | 0.31       |               
                         '--OTA                 | 94    | 0.31       |               
                             '--Tat             | 94    | 0.31       |               
                                 '--Ogre        | 94    | 0.31       | 94 (Ty3-GAG), "	NA	"359"
243	307	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"360"
244	305	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 43    | 0.14       |         
 '--organelle                                   | 43    | 0.14       |         
     '--mitochondria                            | 43    | 0.14       |         "	NA	"361"
245	304	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"362"
246	302	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"363"
247	302	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"364"
248	301	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 141   | 0.47       |         
 '--organelle                                   | 141   | 0.47       |         
     |--plastid                                 | 1     | 0.0033     |         
     '--mitochondria                            | 140   | 0.46       |         "	NA	"365"
249	297	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 167   | 0.56       |         
 '--organelle                                   | 167   | 0.56       |         
     '--mitochondria                            | 167   | 0.56       |         "	NA	"366"
250	297	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"367"
251	292	"mitochondria"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 63    | 0.22       |         
 '--organelle                                   | 63    | 0.22       |         
     '--mitochondria                            | 63    | 0.22       |         "	NA	"368"
